종목코드,종목명,종가,대비,등락률,상장시가총액
"003530","한화증권","5290","130","2.52","335151393790"
"009970","영원무역","6250","-170","-2.65","318839600000"
"072710","농심홀딩스","58000","1200","2.11","268989964000"
"005250","녹십자홀딩스","62300","-6200","-9.05","268667130200"
"101060","SBS홀딩스","18250","250","1.39","255310546750"
"104700","한국철강","31000","2100","7.27","285510000000"
"006040","동원산업","91000","6200","7.31","306051200000"
"006350","전북은행","5600","200","3.70","262275322400"
"008000","웅진케미칼","6010","10","0.17","282693680180"
"016800","퍼시스","20400","400","2.00","255000000000"
"017390","서울가스","61600","-100","-0.16","308000000000"
"030610","교보증권","7550","140","1.89","271800000000"
"000070","삼양사","30900","1000","3.34","309558641100"
"000400","롯데손해보험","6830","-80","-1.16","287201500000"
"000480","조선내화","77000","10000","14.93","308000000000"
"000540","흥국쌍용화재","6000","350","6.19","295388688000"
"003570","S&T중공업","8780","380","4.52","282994326000"
"084010","대한제강","58800","-3200","-5.16","279873006000"
"001500","HMC투자증권","12700","-500","-3.79","201131309700"
"001520","동양메이저","2735","130","4.99","206522051675"
"001630","종근당","15950","600","3.91","208147500000"
"001720","신영증권","23450","150","0.64","220107257650"
"002000","한국유리","20050","950","4.97","202097183000"
"002780","진흥기업","1520","-50","-3.18","206102896720"
"003030","세아제강","43500","1850","4.44","232290000000"
"003940","삼양제넥스","68000","1600","2.41","203042356000"
"004490","세방전지","15300","350","2.34","214200000000"
"004550","대우차판매","6760","-10","-0.15","199960800000"
"007570","일양약품","17300","100","0.58","243973699800"
"008560","메리츠증권","890","0","0.00","240415664400"
"016380","동부제철","7130","900","14.45","202229544700"
"017810","풀무원홀딩스","56000","1400","2.56","209422752000"
"026870","대한가스","23700","200","0.85","229890000000"
"045710","온미디어","1890","15","0.80","223205201100"
"058650","세아홀딩스","64600","0","0.00","232560000000"
"091090","세원셀론텍","5850","90","1.56","211899829050"
"093370","후성","2970","160","5.69","226891587780"
"103140","풍산","7300","-90","-1.22","204577229400"
"092230","KPX홀딩스","35900","1750","5.12","151664791400"
"002300","한국제지","30400","200","0.66","152150449600"
"017960","한국카본","4800","-50","-1.03","141600000000"
"020000","한섬","7850","100","1.29","193345500000"
"023590","다우기술","4270","160","3.89","191580454590"
"025000","KPX케미칼","33500","500","1.52","154100000000"
"030210","KTB투자증권","3200","0","0.00","193005094400"
"032350","롯데관광개발","18850","400","2.17","188500000000"
"034310","한신정","24100","3000","14.22","161470000000"
"035000","GⅡR","10000","0","0.00","175714930000"
"037710","광주신세계","100500","500","0.50","160800000000"
"009200","무림페이퍼","9140","440","5.06","190154546700"
"009240","한샘","6700","80","1.21","157677317600"
"009580","동해펄프","5320","220","4.31","165899741840"
"009680","모토닉","5970","70","1.19","197010000000"
"009720","전기초자","22800","500","2.24","184072950000"
"010460","한국개발금융","26850","850","3.27","170468072400"
"012090","성원건설","3550","70","2.01","142682853150"
"012320","경동가스","50700","0","0.00","160617600000"
"013580","계룡건설","16000","500","3.23","142894512000"
"014830","유니드","29200","100","0.34","192284014800"
"015350","부산가스","17800","50","0.28","195800000000"
"015360","예스코","26000","2100","8.79","156000000000"
"016610","동부증권","4500","30","0.67","190905691500"
"005680","삼영전자","8400","400","5.00","168000000000"
"006380","카프로","4260","100","2.40","170400000000"
"006650","대한유화","20250","-400","-1.94","166050000000"
"007340","동아타이어","7500","310","4.31","177952650000"
"008060","대덕전자","3420","90","2.70","166883346000"
"008320","한국기술산업","2140","160","8.08","183814144400"
"008730","율촌화학","7040","300","4.45","174592000000"
"002350","넥센타이어","2030","105","5.45","192688127800"
"003120","일성신약","72000","5100","7.62","191520000000"
"003200","일신방직","62400","-100","-0.16","149760000000"
"003640","유니온스틸","14400","250","1.77","147744000000"
"004360","세방","10400","-50","-0.48","174720000000"
"004970","신라교역","12000","800","7.14","178909080000"
"000020","동화약품","30900","450","1.48","172616484600"
"000140","하이트홀딩스","16400","0","0.00","193979888800"
"000370","한화손해보험","6370","220","3.58","194140044280"
"000610","제일화재","5500","240","4.56","147259057000"
"001130","대한제분","113500","4000","3.65","191815000000"
"001210","금호전기","22800","1950","9.35","157685962800"
"001270","부국증권","15000","700","4.90","155548290000"
"001680","대상","5780","220","3.96","193151970880"
"001790","대한제당","51500","0","0.00","163249077500"
"002030","아세아시멘트","39450","350","0.90","186950749050"
"002270","롯데삼강","149000","500","0.34","187627207000"
"100220","비유와상징","17000","-100","-0.58","166447000000"
"000470","그린손해보험","5350","130","2.49","91210470100"
"000800","경남기업","7970","0","0.00","125916284570"
"000990","동부하이텍","3780","480","14.55","140604300900"
"001340","백광산업","38250","-400","-1.03","98876097000"
"001370","FnC코오롱","10550","200","1.93","126637980000"
"001470","삼부토건","15750","400","2.61","119290059000"
"001530","동일방직","50900","900","1.80","108213196400"
"001750","한양증권","7700","-100","-1.28","98009711800"
"001940","KISCO홀딩스","35400","450","1.29","98766000000"
"092440","기신정기","7000","680","10.76","102200000000"
"093230","쉘라인","9000","530","6.26","86247000000"
"100840","S&TC","18000","150","0.84","127523016000"
"103160","풀무원","37000","0","0.00","116451432000"
"103590","일진전기","3355","140","4.35","124404708450"
"025540","한국단자","10950","-300","-2.67","114044250000"
"025610","한국저축은행","14000","-500","-3.45","98000000000"
"025850","KPX화인케미칼","33950","950","2.88","108640000000"
"034590","인천도시가스","23800","500","2.15","95200000000"
"036530","S&T홀딩스","5720","410","7.72","87649979560"
"049770","동원F&B","27300","1800","7.06","85562322300"
"051310","성진지오텍","3750","0","0.00","114646875000"
"058430","포스코강판","16600","350","2.15","99600000000"
"064960","S&T대우","8750","170","1.98","101839377500"
"079430","리바트","5260","300","6.05","90796279000"
"085310","엔케이","8000","100","1.27","129718200000"
"009280","다함이텍","28300","1300","4.81","112817751900"
"009290","광동제약","2670","-5","-0.19","139963672170"
"009440","KC코트렐","6420","-220","-3.31","109140000000"
